id;title;expression;hide;equals;in_arr;specified
1;Refined;Mandatory Assistant;false;C;B;false
2;Tuna magenta;Wells;true;A;C;false
3;withdrawal;one-to-one Indiana;false;C;C;true
4;clear-thinking Frozen Licensed;Group hard drive Personal Loan Account;false;B;A;true
5;Ways Liaison engage;disintermediate Assistant generating;true;C;C;false
6;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;true;B;A;false
7;white SMTP;Checking Account global Steel;true;B;B;true
8;Refined redundant;Granite Grocery;true;A;A;true
9;Home Loan Account withdrawal;partnerships International;false;A;C;true
10;back-end Via indexing;Business-focused Canyon Orchestrator;false;C;C;true
