id;title;expression;hide;contains;equals;in_arr;specified
1;Steel leading-edge Small;Incredible Fresh Chips;true;Bridge;connect;Hollow Shoes systems;false
2;Personal Loan Account;HTTP explicit;false;Optimization Cambridgeshire;payment Soap;Web;true
3;COM;Data North Dakota;false;deposit Station;parsing Investment Account;Branding Dynamic black;false
4;Fantastic;Ergonomic Rubber Chicken;false;withdrawal;quantifying Garden;directional Avon Solomon Islands Dollar;false
5;Accountability Handmade Cotton Bacon;intermediate Table quantify;true;Producer infrastructures;Robust Louisiana;Infrastructure SSL bandwidth;true
6;compress Fantastic Global;Buckinghamshire monetize;false;Fantastic Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;false
7;Money Market Account;Danish Krone parse;true;back-end Unbranded Cambridgeshire;Designer;mindshare;true
8;cross-media Frozen;Syrian Pound;true;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;true
9;PCI SAS;Interactions;true;navigate repurpose;Buckinghamshire;Oklahoma communities;true
10;Cotton;Advanced grow;true;hack;Fresh payment synthesize;Versatile seize;false
